,date,open,close,high,low,volume,code
0,2017-01-03,324.689,324.961,327.331,323.261,20763.0,600519
1,2017-01-04,325.019,341.813,342.066,325.0,65257.0,600519
2,2017-01-05,339.958,336.792,341.366,335.529,41704.0,600519
3,2017-01-06,336.694,340.696,349.457,336.17,68095.0,600519
4,2017-01-09,337.821,338.511,342.755,336.597,35405.0,600519
5,2017-01-10,338.453,338.987,341.901,336.656,31727.0,600519
6,2017-01-11,338.015,335.539,338.015,333.645,23598.0,600519
7,2017-01-12,336.607,337.093,337.433,334.626,17779.0,600519
8,2017-01-13,337.025,334.975,337.423,334.014,18282.0,600519
9,2017-01-16,334.256,331.673,334.907,329.079,36855.0,600519
10,2017-01-17,332.77,339.113,341.415,332.188,35188.0,600519
11,2017-01-18,338.87,344.892,346.534,337.248,46005.0,600519
12,2017-01-19,344.815,344.543,348.195,341.609,28523.0,600519
13,2017-01-20,344.717,344.805,347.146,342.901,21344.0,600519
14,2017-01-23,346.641,341.143,349.477,339.434,32581.0,600519
15,2017-01-24,341.192,340.259,342.678,336.801,26914.0,600519
16,2017-01-25,339.939,337.656,339.939,336.267,22990.0,600519
17,2017-01-26,338.151,334.538,338.792,331.508,37826.0,600519
18,2017-02-03,336.073,336.898,339.162,335.102,20936.0,600519
19,2017-02-06,338.491,336.898,338.88,335.063,15680.0,600519
20,2017-02-07,336.889,333.722,337.433,333.295,20519.0,600519
21,2017-02-08,333.897,334.334,335.587,332.838,19088.0,600519
22,2017-02-09,335.102,337.637,338.783,334.723,23324.0,600519
23,2017-02-10,338.618,335.179,339.783,335.102,24056.0,600519
24,2017-02-13,334.13,339.715,341.804,332.11,53587.0,600519
25,2017-02-14,339.511,340.162,342.483,339.084,26558.0,600519
26,2017-02-15,341.415,338.53,342.328,337.238,26256.0,600519
27,2017-02-16,338.501,338.103,338.618,335.597,17642.0,600519
28,2017-02-17,338.89,340.502,344.271,337.53,29102.0,600519
29,2017-02-20,340.356,350.924,351.925,339.968,61853.0,600519
30,2017-02-21,351.497,348.447,352.031,346.932,27705.0,600519
31,2017-02-22,350.264,351.507,356.004,349.671,37130.0,600519
32,2017-02-23,350.613,351.322,354.994,349.438,23328.0,600519
33,2017-02-24,351.614,352.216,352.478,349.72,17692.0,600519
34,2017-02-27,352.09,346.951,352.439,346.563,25400.0,600519
35,2017-02-28,346.757,344.484,348.894,343.435,27473.0,600519
36,2017-03-01,344.912,346.378,347.923,344.815,21944.0,600519
37,2017-03-02,346.476,346.582,346.757,344.358,22103.0,600519
38,2017-03-03,344.815,346.31,347.942,344.815,14153.0,600519
39,2017-03-06,347.398,348.661,349.224,346.32,22818.0,600519
40,2017-03-07,347.758,356.665,358.296,347.758,46286.0,600519
41,2017-03-08,356.645,356.742,357.918,355.013,16037.0,600519
42,2017-03-09,356.47,359.287,359.365,355.072,23406.0,600519
43,2017-03-10,359.307,359.239,366.183,357.791,40951.0,600519
44,2017-03-13,359.433,360.89,363.59,356.985,27674.0,600519
45,2017-03-14,360.89,358.899,363.124,357.772,20416.0,600519
46,2017-03-15,358.899,363.93,364.386,358.423,25155.0,600519
47,2017-03-16,365.756,364.017,367.446,362.104,25022.0,600519
48,2017-03-17,362.395,367.621,373.42,362.395,34700.0,600519
49,2017-03-20,369.583,375.323,375.615,368.009,31545.0,600519
50,2017-03-21,375.459,382.705,385.124,375.411,48460.0,600519
51,2017-03-22,379.325,383.162,383.278,373.954,45532.0,600519
52,2017-03-23,380.782,378.606,382.686,375.508,34504.0,600519
53,2017-03-24,381.064,375.722,381.938,373.954,33287.0,600519
