,date,open,close,high,low,volume,code
0,2017-01-03,5.449,5.495,5.504,5.449,106965.0,600642
1,2017-01-04,5.486,5.523,5.532,5.486,99175.0,600642
2,2017-01-05,5.523,5.542,5.542,5.504,105144.0,600642
3,2017-01-06,5.542,5.616,5.625,5.532,287604.0,600642
4,2017-01-09,5.597,5.625,5.644,5.588,179594.0,600642
5,2017-01-10,5.616,5.625,5.653,5.607,149912.0,600642
6,2017-01-11,5.625,5.579,5.644,5.569,127403.0,600642
7,2017-01-12,5.579,5.579,5.616,5.56,91288.0,600642
8,2017-01-13,5.579,5.625,5.634,5.542,142602.0,600642
9,2017-01-16,5.625,5.709,5.746,5.523,654850.0,600642
10,2017-01-17,5.672,5.69,5.737,5.672,195196.0,600642
11,2017-01-18,5.69,5.672,5.7,5.644,123037.0,600642
12,2017-01-19,5.672,5.653,5.69,5.634,84777.0,600642
13,2017-01-20,5.653,5.672,5.69,5.634,119492.0,600642
14,2017-01-23,5.69,5.672,5.69,5.653,109806.0,600642
15,2017-01-24,5.672,5.681,5.681,5.653,87755.0,600642
16,2017-01-25,5.662,5.672,5.7,5.653,85539.0,600642
17,2017-01-26,5.672,5.644,5.69,5.644,96893.0,600642
18,2017-02-03,5.653,5.634,5.662,5.625,62079.0,600642
19,2017-02-06,5.644,5.672,5.672,5.634,104704.0,600642
20,2017-02-07,5.662,5.644,5.672,5.625,96416.0,600642
21,2017-02-08,5.634,5.662,5.662,5.625,104056.0,600642
22,2017-02-09,5.662,5.681,5.7,5.653,129625.0,600642
23,2017-02-10,5.69,5.718,5.737,5.672,273642.0,600642
24,2017-02-13,5.718,5.811,5.82,5.718,405157.0,600642
25,2017-02-14,5.811,5.83,5.848,5.755,285270.0,600642
26,2017-02-15,5.83,5.848,5.951,5.82,560303.0,600642
27,2017-02-16,5.839,5.848,5.867,5.774,237400.0,600642
28,2017-02-17,5.876,5.802,5.895,5.755,235130.0,600642
29,2017-02-20,5.774,5.839,5.839,5.774,279437.0,600642
30,2017-02-21,5.839,5.858,5.904,5.82,177102.0,600642
31,2017-02-22,5.858,5.932,5.941,5.839,305292.0,600642
32,2017-02-23,5.923,5.913,5.923,5.858,202266.0,600642
33,2017-02-24,5.895,5.876,5.904,5.848,130869.0,600642
34,2017-02-27,5.858,5.839,5.895,5.839,110004.0,600642
35,2017-02-28,5.83,5.858,5.858,5.82,87079.0,600642
36,2017-03-01,5.83,5.848,5.876,5.83,104891.0,600642
37,2017-03-02,5.858,5.82,5.867,5.783,117017.0,600642
38,2017-03-03,5.802,5.802,5.82,5.774,96825.0,600642
39,2017-03-06,5.802,5.858,5.886,5.783,115352.0,600642
40,2017-03-07,5.858,5.858,5.895,5.839,98549.0,600642
41,2017-03-08,5.867,5.848,5.876,5.82,103456.0,600642
42,2017-03-09,5.83,5.811,5.839,5.765,152211.0,600642
43,2017-03-10,5.802,5.783,5.83,5.774,108332.0,600642
44,2017-03-13,5.783,5.802,5.802,5.755,94353.0,600642
45,2017-03-14,5.793,5.774,5.83,5.765,100161.0,600642
46,2017-03-15,5.774,5.765,5.793,5.746,88829.0,600642
47,2017-03-16,5.783,5.811,5.82,5.774,111294.0,600642
48,2017-03-17,5.82,5.783,5.83,5.765,100026.0,600642
49,2017-03-20,5.765,5.793,5.811,5.755,88338.0,600642
50,2017-03-21,5.783,5.783,5.802,5.755,71191.0,600642
51,2017-03-22,5.774,5.727,5.783,5.718,120683.0,600642
52,2017-03-23,5.727,5.727,5.746,5.709,85204.0,600642
53,2017-03-24,5.718,5.765,5.774,5.709,85411.0,600642
54,2017-03-27,5.774,5.774,5.793,5.718,122038.0,600642
55,2017-03-28,5.774,5.755,5.783,5.746,73885.0,600642
56,2017-03-29,5.755,5.765,5.802,5.718,153952.0,600642
57,2017-03-30,5.765,5.802,5.82,5.718,221132.0,600642
58,2017-03-31,5.802,5.82,5.858,5.783,274897.0,600642
